Ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,entrez,Gene stable ID,Gene name,Gene type,Gene description,Chromosome/scaffold name,Gene start (bp),Gene end (bp)
ENSMUSG00000000154,687.489615826131,0.041231522346422,0.117263738919906,0.351613574035744,0.725128083892057,0.888201740155842,Slc22a18,18400,ENSMUSG00000000154,Slc22a18,protein_coding,"solute carrier family 22 (organic cation transporter), member 18 [Source:MGI Symbol;Acc:MGI:1336884]",7,143027473,143053071
ENSMUSG00000000159,261.698920859951,0.130129637212607,0.103986970311831,1.25140329430102,0.210787375996431,0.501016110164151,Igsf5,72058,ENSMUSG00000000159,Igsf5,protein_coding,"immunoglobulin superfamily, member 5 [Source:MGI Symbol;Acc:MGI:1919308]",16,96162868,96223321
ENSMUSG00000000168,872.174191133194,-0.601680769907467,0.24493338314103,-2.4565078152741,0.014029475054416,0.105452363595981,Dlat,235339,ENSMUSG00000000168,Dlat,protein_coding,dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) [Source:MGI Symbol;Acc:MGI:2385311],9,50545933,50571080
ENSMUSG00000000171,2071.32090141283,-0.101613718475656,0.070079709517683,-1.44997345415674,0.14706592196569,0.418036808134097,Sdhd,66925,ENSMUSG00000000171,Sdhd,protein_coding,"succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]",9,50507657,50515112
ENSMUSG00000000184,277.583890089792,-0.299457394016991,0.164239663215258,-1.82329522695448,0.068258688838416,0.271613950045094,Ccnd2,12444,ENSMUSG00000000184,Ccnd2,protein_coding,cyclin D2 [Source:MGI Symbol;Acc:MGI:88314],6,127102125,127129156
ENSMUSG00000000194,316.520879687806,-0.040453533870029,0.186449834347895,-0.216967389708412,0.828233758822744,0.937279723415421,Gpr107,277463,ENSMUSG00000000194,Gpr107,protein_coding,G protein-coupled receptor 107 [Source:MGI Symbol;Acc:MGI:2139054],2,31042328,31108787
ENSMUSG00000000204,4.82744400657498,-1.00963025479963,0.784596082755365,-1.28681531426206,0.198158667857928,0.486840836272736,Slfn4,20558,ENSMUSG00000000204,Slfn4,protein_coding,schlafen 4 [Source:MGI Symbol;Acc:MGI:1329010],11,83066012,83081042
ENSMUSG00000000244,7.69721264899346,-1.22865088192691,0.590597604680396,-2.08035195569715,0.037493262549873,0.195203702565947,Tspan32,27027,ENSMUSG00000000244,Tspan32,protein_coding,tetraspanin 32 [Source:MGI Symbol;Acc:MGI:1350360],7,142558783,142573381
ENSMUSG00000000247,50.6713195961634,-0.302385125116706,0.230356671443903,-1.31268229924195,0.18929002457732,0.476048453508979,Lhx2,16870,ENSMUSG00000000247,Lhx2,protein_coding,LIM homeobox protein 2 [Source:MGI Symbol;Acc:MGI:96785],2,38229293,38259745
ENSMUSG00000000253,12.6021852268593,-0.370335422690765,0.505118904513483,-0.733164843726176,0.463457894825736,0.733160140614186,Gmpr,66355,ENSMUSG00000000253,Gmpr,protein_coding,guanosine monophosphate reductase [Source:MGI Symbol;Acc:MGI:1913605],13,45660920,45707276
ENSMUSG00000000266,120.431902327316,-0.006353239501697,0.174063456928182,-0.036499559492943,0.970884029950438,0.990309698049884,Mid2,23947,ENSMUSG00000000266,Mid2,protein_coding,midline 2 [Source:MGI Symbol;Acc:MGI:1344333],X,139565348,139668464
ENSMUSG00000000275,1534.82870929258,-0.387558608662273,0.148574230562362,-2.6085183628099,0.009093513262816,0.078816255118902,Trim25,217069,ENSMUSG00000000275,Trim25,protein_coding,tripartite motif-containing 25 [Source:MGI Symbol;Acc:MGI:102749],11,88890202,88911119
ENSMUSG00000000276,43.60736798939,-0.216538070759942,0.297519946196662,-0.727810264582426,0.466729740219536,0.735336362623304,Dgke,56077,ENSMUSG00000000276,Dgke,protein_coding,"diacylglycerol kinase, epsilon [Source:MGI Symbol;Acc:MGI:1889276]",11,88926005,88957676
ENSMUSG00000000278,472.47003442591,-0.990255161814745,0.13566230312119,-7.29941287322929,2.89026150147512E-13,3.70089805278507E-11,Scpep1,74617,ENSMUSG00000000278,Scpep1,protein_coding,serine carboxypeptidase 1 [Source:MGI Symbol;Acc:MGI:1921867],11,88814846,88846291
ENSMUSG00000000282,141.126802854955,0.204506901536128,0.287460503187676,0.711426089039475,0.476820236891887,0.742624478111407,Mnt,17428,ENSMUSG00000000282,Mnt,protein_coding,max binding protein [Source:MGI Symbol;Acc:MGI:109150],11,74721746,74736551
ENSMUSG00000000290,140.093938327847,-0.353338366010693,0.228542734171283,-1.54604943925227,0.12209262826283,0.378088807531689,Itgb2,16414,ENSMUSG00000000290,Itgb2,protein_coding,integrin beta 2 [Source:MGI Symbol;Acc:MGI:96611],10,77366086,77401542
ENSMUSG00000000295,9.90995859103645,0.197229261020241,0.492327500587591,0.40060581784452,0.688710361621379,0.868399983901826,Hddc2,69692,ENSMUSG00000000295,Hddc2,protein_coding,HD domain containing 2 [Source:MGI Symbol;Acc:MGI:1916942],10,31189379,31204200
ENSMUSG00000000296,61.5439329777237,-0.164061240566892,0.217366287888328,-0.754768562138661,0.450387860091747,0.724732000595766,Tpd52l1,21987,ENSMUSG00000000296,Tpd52l1,protein_coding,tumor protein D52-like 1 [Source:MGI Symbol;Acc:MGI:1298386],10,31208372,31321954
ENSMUSG00000000301,2030.51947820106,-0.296874325373429,0.149812618596553,-1.9816376494487,0.047519810201247,0.222890932166153,Pemt,18618,ENSMUSG00000000301,Pemt,protein_coding,phosphatidylethanolamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:104535],11,59861440,59937315
ENSMUSG00000000303,544.694598402342,1.08164239437329,0.250408374858401,4.31951365438526,1.56373433909799E-05,0.000520209955504,Cdh1,12550,ENSMUSG00000000303,Cdh1,protein_coding,cadherin 1 [Source:MGI Symbol;Acc:MGI:88354],8,107329983,107396878
ENSMUSG00000000305,16.3776191577519,-0.541766534073127,0.380067336089442,-1.42544881558996,0.154027505727996,0.427441287108176,Cdh4,12561,ENSMUSG00000000305,Cdh4,protein_coding,cadherin 4 [Source:MGI Symbol;Acc:MGI:99218],2,179084224,179541166
ENSMUSG00000000317,34.1987252267541,-0.232830643917584,0.336470029170097,-0.691980336233394,0.488949677818123,0.749758602280854,Bcl6b,12029,ENSMUSG00000000317,Bcl6b,protein_coding,"B cell CLL/lymphoma 6, member B [Source:MGI Symbol;Acc:MGI:1278332]",11,70114954,70120624
ENSMUSG00000000318,7.23850731604731,0.042199693792344,0.713791827988286,0.05912044960122,0.952856170702408,0.985305257118984,Clec10a,17312,ENSMUSG00000000318,Clec10a,protein_coding,"C-type lectin domain family 10, member A [Source:MGI Symbol;Acc:MGI:96975]",11,70047023,70061660
ENSMUSG00000000320,10.5009714475704,0.056669483141862,0.484848949057644,0.116880697074841,0.906954594800439,0.97059670879462,Alox12,11684,ENSMUSG00000000320,Alox12,protein_coding,arachidonate 12-lipoxygenase [Source:MGI Symbol;Acc:MGI:87998],11,70132283,70146179
ENSMUSG00000000325,197.147396796316,-0.637092208464245,0.204315093995441,-3.11818474105717,0.001819687025749,0.024732219597577,Arvcf,11877,ENSMUSG00000000326,Comt,protein_coding,catechol-O-methyltransferase [Source:MGI Symbol;Acc:MGI:88470],16,18225636,18245602
ENSMUSG00000000326,6712.08154887447,0.404563001725729,0.134313583518071,3.01207808718242,0.0025946584346,0.032132572018998,Comt,12846,ENSMUSG00000000339,Rtca,protein_coding,RNA 3'-terminal phosphate cyclase [Source:MGI Symbol;Acc:MGI:1913618],3,116282612,116301857
ENSMUSG00000000339,95.1167678542787,0.345512449551534,0.201977377640625,1.71064924986945,0.087145881516582,0.312752789482965,Rtca,66368,ENSMUSG00000000340,Dbt,protein_coding,dihydrolipoamide branched chain transacylase E2 [Source:MGI Symbol;Acc:MGI:105386],3,116306719,116343630
ENSMUSG00000000340,1218.02153666885,0.323590284091172,0.135199766905938,2.39342338745525,0.016691966928089,0.117594455944707,Dbt,13171,ENSMUSG00000000346,Dazap2,protein_coding,DAZ associated protein 2 [Source:MGI Symbol;Acc:MGI:1344344],15,100513230,100518642
ENSMUSG00000000346,1567.83410916504,0.087955180262543,0.077203178782533,1.13926889604243,0.25459101736438,0.548800143615256,Dazap2,23994,ENSMUSG00000000355,Mcts1,protein_coding,malignant T cell amplified sequence 1 [Source:MGI Symbol;Acc:MGI:1916245],X,37689455,37702303
ENSMUSG00000000355,273.379149751491,0.16918360495531,0.110457111824406,1.53166783162193,0.125604424410693,0.382420110481458,Mcts1,68995,ENSMUSG00000000374,Trappc10,protein_coding,trafficking protein particle complex 10 [Source:MGI Symbol;Acc:MGI:1336209],10,78022559,78080475
ENSMUSG00000000374,383.758789859612,0.097897375233522,0.147584294948567,0.66333193018701,0.507117991003292,0.761588286594178,Trappc10,216131,ENSMUSG00000000378,Ccm2,protein_coding,cerebral cavernous malformation 2 [Source:MGI Symbol;Acc:MGI:2384924],11,6496887,6546744
ENSMUSG00000000378,152.959849745115,-0.082211251583847,0.177748521121389,-0.462514405549979,0.643712474254134,0.844996175886618,Ccm2,216527,ENSMUSG00000000384,Tbrg4,protein_coding,transforming growth factor beta regulated gene 4 [Source:MGI Symbol;Acc:MGI:1100868],11,6565598,6576067
ENSMUSG00000000384,288.748683757356,0.173100625371919,0.135686153938101,1.27574273680781,0.202046475873268,0.491970292555481,Tbrg4,21379,ENSMUSG00000000385,Tmprss2,protein_coding,"transmembrane protease, serine 2 [Source:MGI Symbol;Acc:MGI:1354381]",16,97365882,97412395
ENSMUSG00000000385,90.3628761766657,-1.32654360749631,0.311485513050821,-4.25876502089481,2.055594114897E-05,0.000648850672593,Tmprss2,50528,ENSMUSG00000000386,Mx1,polymorphic_pseudogene,MX dynamin-like GTPase 1 [Source:MGI Symbol;Acc:MGI:97243],16,97248235,97264107
ENSMUSG00000000386,32.3893220033772,-0.987886280429575,0.501303904073021,-1.97063352669537,0.048765808894873,0.226444859435549,Mx1,17857,ENSMUSG00000000392,Fap,protein_coding,fibroblast activation protein [Source:MGI Symbol;Acc:MGI:109608],2,62331287,62404419
ENSMUSG00000000392,6.34471673019682,0.332899232793705,0.678292444078192,0.490790124083012,0.623574895762376,0.832737559327777,Fap,14089,ENSMUSG00000000399,Ndufa9,protein_coding,NADH:ubiquinone oxidoreductase subunit A9 [Source:MGI Symbol;Acc:MGI:1913358],6,126798684,126826099
ENSMUSG00000000399,1278.27188385606,0.061197559104896,0.112073053387663,0.546050609446793,0.585031149118985,0.808453246486661,Ndufa9,66108,ENSMUSG00000000409,Lck,protein_coding,lymphocyte protein tyrosine kinase [Source:MGI Symbol;Acc:MGI:96756],4,129442137,129467434
ENSMUSG00000000409,16.0470719217003,-0.617286051471242,0.51227333304201,-1.20499352914906,0.228205799939364,0.518548686687845,Lck,16818,ENSMUSG00000000416,Cttnbp2,protein_coding,cortactin binding protein 2 [Source:MGI Symbol;Acc:MGI:1353467],6,18366477,18514842
ENSMUSG00000000416,8.29753427439695,-0.553848672072092,0.79303756247956,-0.698388951893268,0.484933983753528,0.747361072043446,Cttnbp2,30785,ENSMUSG00000000420,Galnt1,protein_coding,polypeptide N-acetylgalactosaminyltransferase 1 [Source:MGI Symbol;Acc:MGI:894693],18,24338401,24419875
ENSMUSG00000000420,762.026456947901,0.165405497242231,0.111402251694523,1.48475901273334,0.137607672995114,0.402634169891301,Galnt1,14423,ENSMUSG00000000439,Mkrn2,protein_coding,"makorin, ring finger protein, 2 [Source:MGI Symbol;Acc:MGI:1914277]",6,115578863,115599585
ENSMUSG00000000439,182.999352705702,0.059457640903622,0.288317133887767,0.206223057582027,0.836616677584967,0.94110709140235,Mkrn2,67027,ENSMUSG00000000440,Pparg,protein_coding,peroxisome proliferator activated receptor gamma [Source:MGI Symbol;Acc:MGI:97747],6,115337912,115467360
ENSMUSG00000000440,93.7665841072605,0.346745884832442,0.240712005688992,1.44050099969026,0.149725707394193,0.421186948489406,Pparg,19016,ENSMUSG00000000441,Raf1,protein_coding,v-raf-leukemia viral oncogene 1 [Source:MGI Symbol;Acc:MGI:97847],6,115595028,115653596
ENSMUSG00000000441,1139.43745176343,0.26525484183373,0.11644314598169,2.27797728752055,0.022727930845723,0.142066086074929,Raf1,110157,ENSMUSG00000000486,Septin1,protein_coding,septin 1 [Source:MGI Symbol;Acc:MGI:1858916],7,126813619,126832302
ENSMUSG00000000486,20.560943120717,0.377459360077102,0.407291984800951,0.926753715179472,0.354054421270575,0.64695485459148,Sept1,54204,ENSMUSG00000000489,Pdgfb,protein_coding,"platelet derived growth factor, B polypeptide [Source:MGI Symbol;Acc:MGI:97528]",15,79880075,79899178
ENSMUSG00000000489,23.1964005371439,-0.483196380431058,0.322901004613982,-1.4964226605882,0.134543548029706,0.397832458943939,Pdgfb,18591,ENSMUSG00000000530,Acvrl1,protein_coding,"activin A receptor, type II-like 1 [Source:MGI Symbol;Acc:MGI:1338946]",15,101026403,101043217
ENSMUSG00000000530,48.622692827773,-1.07734683142866,0.303016032353917,-3.55541197955603,0.000377387275135,0.007154018834377,Acvrl1,11482,ENSMUSG00000000531,Tamalin,protein_coding,trafficking regulator and scaffold protein tamalin [Source:MGI Symbol;Acc:MGI:1860303],15,101122069,101130637
ENSMUSG00000000531,19.3827815232163,-0.413392878054409,0.348262846815871,-1.18701400920028,0.235222094695907,0.527017083411613,Grasp,56149,ENSMUSG00000000532,Acvr1b,protein_coding,"activin A receptor, type 1B [Source:MGI Symbol;Acc:MGI:1338944]",15,101071948,101111565
ENSMUSG00000000532,185.985655934038,-0.024332476838334,0.158695357311043,-0.153328221131524,0.87813944655666,0.958799644924902,Acvr1b,11479,ENSMUSG00000000538,Tom1l2,protein_coding,target of myb1-like 2 (chicken) [Source:MGI Symbol;Acc:MGI:2443306],11,60117540,60243731
ENSMUSG00000000538,424.587250094062,0.258017494889463,0.161410014716825,1.59852221897213,0.109926804568192,0.357117405075173,Tom1l2,216810,ENSMUSG00000000552,Zfp385a,protein_coding,zinc finger protein 385A [Source:MGI Symbol;Acc:MGI:1352495],15,103222322,103248520
ENSMUSG00000000552,189.980254903648,-0.074561680411785,0.180315288778047,-0.413507256744956,0.679235006815913,0.864351688688712,Zfp385a,29813,ENSMUSG00000000555,Itga5,protein_coding,integrin alpha 5 (fibronectin receptor alpha) [Source:MGI Symbol;Acc:MGI:96604],15,103252713,103275190
ENSMUSG00000000555,454.248821774657,-0.604855458372003,0.229753250972304,-2.63263068449428,0.008472642081527,0.075064733010814,Itga5,16402,ENSMUSG00000000561,Wdr77,protein_coding,WD repeat domain 77 [Source:MGI Symbol;Acc:MGI:1917715],3,105866685,105877353
ENSMUSG00000000561,346.145301881119,0.287751191308219,0.135907063874352,2.11726442397615,0.03423741243885,0.183886804880074,Wdr77,70465,ENSMUSG00000000563,Atp5pb,protein_coding,ATP synthase peripheral stalk-membrane subunit b [Source:MGI Symbol;Acc:MGI:1100495],3,105850014,105867415
ENSMUSG00000000563,3431.85846723993,0.104274190585333,0.10709257995702,0.973682683031653,0.330214118132983,0.62465271250644,Atp5pb,11950,ENSMUSG00000000567,Sox9,protein_coding,SRY (sex determining region Y)-box 9 [Source:MGI Symbol;Acc:MGI:98371],11,112673050,112678586
ENSMUSG00000000567,114.922860638448,0.123651246997457,0.272360922315131,0.453997753959682,0.649830443385919,0.848676966434995,Sox9,20682,ENSMUSG00000000568,Hnrnpd,protein_coding,heterogeneous nuclear ribonucleoprotein D [Source:MGI Symbol;Acc:MGI:101947],5,100103794,100126797
ENSMUSG00000000568,738.31684004483,-0.212581464481443,0.113385851960921,-1.87484999940477,0.060813362397297,0.255983054827109,Hnrnpd,11991,ENSMUSG00000000579,Dynlt1c,protein_coding,dynein light chain Tctex-type 1C [Source:MGI Symbol;Acc:MGI:3807476],17,6869070,6877173
ENSMUSG00000000579,18.7789020103597,-0.505303128790928,0.416497560125015,-1.21321990131048,0.225045757251421,0.515917066681769,Dynlt1b,21648,ENSMUSG00000000581,C1d,protein_coding,C1D nuclear receptor co-repressor [Source:MGI Symbol;Acc:MGI:1927354],11,17207579,17219176
ENSMUSG00000000581,563.213050124018,0.17681313518017,0.158941660758226,1.11244046612253,0.26594881395117,0.561387752995215,C1d,57316,ENSMUSG00000000594,Gm2a,protein_coding,GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762],11,54988941,55003855
ENSMUSG00000000594,1498.2002702408,-0.386737029801018,0.151163665248853,-2.5583993955449,0.010515524188763,0.086922805445336,Gm2a,14667,ENSMUSG00000000600,Krit1,protein_coding,"KRIT1, ankyrin repeat containing [Source:MGI Symbol;Acc:MGI:1930618]",5,3853184,3895564
ENSMUSG00000000600,365.071821652564,0.071741522182123,0.139890468191104,0.512840675349784,0.60806277435888,0.823594056119457,Krit1,79264,ENSMUSG00000000605,Clcn4,protein_coding,"chloride channel, voltage-sensitive 4 [Source:MGI Symbol;Acc:MGI:104571]",7,7285308,7303850
ENSMUSG00000000605,1009.1469727308,0.112841058032494,0.07990132588589,1.41225513821443,0.157874850564669,0.433749467248779,Clcn4,12727,ENSMUSG00000000628,Hk2,protein_coding,hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197],6,82702006,82751435
ENSMUSG00000000628,62.0230537174145,-0.27455129167034,0.512460599491073,-0.535751025431025,0.592130633655636,0.81346043427206,Hk2,15277,ENSMUSG00000000631,Myo18a,protein_coding,myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185],11,77654072,77756806
ENSMUSG00000000631,1314.02009195924,-0.346739871193346,0.146483153475565,-2.36709725976226,0.017928220708472,0.12285415835187,Myo18a,360013,ENSMUSG00000000673,Haao,protein_coding,"3-hydroxyanthranilate 3,4-dioxygenase [Source:MGI Symbol;Acc:MGI:1349444]",17,84138585,84155392
ENSMUSG00000000673,5187.15941461208,0.025813568206259,0.172828664215959,0.14935929941577,0.881270125791168,0.959904250370918,Haao,107766,ENSMUSG00000000682,Cd52,protein_coding,CD52 antigen [Source:MGI Symbol;Acc:MGI:1346088],4,133809759,133822393
ENSMUSG00000000682,67.02046517347,-0.417605136727109,0.271711629380996,-1.53694244769163,0.1243074035617,0.380436052458645,Cd52,23833,ENSMUSG00000000686,Abhd15,protein_coding,abhydrolase domain containing 15 [Source:MGI Symbol;Acc:MGI:1914727],11,77405947,77429433
ENSMUSG00000000686,367.647953455258,0.411040572870165,0.181334702821488,2.26675074585589,0.023405456518472,0.144466694554444,Abhd15,67477,ENSMUSG00000000693,Loxl3,protein_coding,lysyl oxidase-like 3 [Source:MGI Symbol;Acc:MGI:1337004],6,83011154,83029543
ENSMUSG00000000693,27.6647975871409,-0.723661234566389,0.447667285269092,-1.6165157883525,0.105982842650382,0.349916108804094,Loxl3,16950,ENSMUSG00000000708,Kat2b,protein_coding,K(lysine) acetyltransferase 2B [Source:MGI Symbol;Acc:MGI:1343094],17,53873889,53979748
ENSMUSG00000000708,1343.97471435668,0.304965204785597,0.166056892751426,1.83651036540896,0.066282210508134,0.267536292552944,Kat2b,18519,ENSMUSG00000000711,Rab5b,protein_coding,"RAB5B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105938]",10,128513044,128532133
ENSMUSG00000000711,1609.73191717031,-0.065298918606785,0.101330669425972,-0.644414163813359,0.519306902328081,0.770026259546545,Rab5b,19344,ENSMUSG00000000732,Icosl,protein_coding,icos ligand [Source:MGI Symbol;Acc:MGI:1354701],10,77905136,77919747
ENSMUSG00000000732,16.8461208314402,0.205695206416231,0.471929075410965,0.435860422961031,0.662938001348388,0.855491299895577,Icosl,50723,ENSMUSG00000000738,Spg7,protein_coding,"SPG7, paraplegin matrix AAA peptidase subunit [Source:MGI Symbol;Acc:MGI:2385906]",8,123789681,123824499
ENSMUSG00000000738,395.594499087971,0.351192678331759,0.141522200955607,2.48153770899819,0.013081686810835,0.100428583192003,Spg7,234847,ENSMUSG00000000739,Sult5a1,protein_coding,"sulfotransferase family 5A, member 1 [Source:MGI Symbol;Acc:MGI:1931463]",8,123866931,123885054
ENSMUSG00000000739,90.1495688488771,0.919622070585458,0.394517967424066,2.33100174521826,0.019753267656977,0.130087870891869,Sult5a1,57429,ENSMUSG00000000740,Rpl13,protein_coding,ribosomal protein L13 [Source:MGI Symbol;Acc:MGI:105922],8,123829089,123831983
ENSMUSG00000000740,1966.64040300308,-0.086111410744242,0.13841481075225,-0.622125697938307,0.533859218470115,0.779734334692228,Rpl13,270106,ENSMUSG00000000743,Chmp1a,protein_coding,charged multivesicular body protein 1A [Source:MGI Symbol;Acc:MGI:1920159],8,123931003,123939502
ENSMUSG00000000743,554.779300238961,0.062787248229038,0.073660966521237,0.852381542006187,0.394002361384305,0.679187573922434,Chmp1a,234852,ENSMUSG00000000751,Rpa1,protein_coding,replication protein A1 [Source:MGI Symbol;Acc:MGI:1915525],11,75188992,75239150
ENSMUSG00000000751,403.840542538929,-0.182951456959089,0.134749857176236,-1.35771169478726,0.174555184441429,0.457942192726993,Rpa1,68275,ENSMUSG00000000753,Serpinf1,protein_coding,"serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080]",11,75300595,75313527
ENSMUSG00000000753,6168.17490602965,0.065799302465077,0.120978212504871,0.543893822719749,0.586514540055941,0.809678788870961,Serpinf1,20317,ENSMUSG00000000759,Tubgcp3,protein_coding,"tubulin, gamma complex associated protein 3 [Source:MGI Symbol;Acc:MGI:2183752]",8,12664277,12722248
ENSMUSG00000000759,243.391633459851,-0.019818254413309,0.117862627397474,-0.168147061124596,0.866467586949591,0.954071334359017,Tubgcp3,259279,ENSMUSG00000000776,Polr3d,protein_coding,polymerase (RNA) III (DNA directed) polypeptide D [Source:MGI Symbol;Acc:MGI:1914315],14,70676197,70680887
ENSMUSG00000000776,87.8579717731386,-0.354187857154312,0.21198983430116,-1.67077755554608,0.094765623363372,0.329383383371037,Polr3d,67065,ENSMUSG00000000782,Tcf7,protein_coding,"transcription factor 7, T cell specific [Source:MGI Symbol;Acc:MGI:98507]",11,52143198,52174158
ENSMUSG00000000782,61.2547263435125,-0.960978050816541,0.252944704583799,-3.79916255767345,0.000145185844076,0.003328728820348,Tcf7,21414,ENSMUSG00000000787,Ddx3x,protein_coding,"DEAD box helicase 3, X-linked [Source:MGI Symbol;Acc:MGI:103064]",X,13147209,13160291
ENSMUSG00000000787,3557.66419786762,-0.334157210660823,0.124661572277406,-2.68051496989971,0.007350897648291,0.068104937733963,Ddx3x,13205,ENSMUSG00000000791,Il12rb1,protein_coding,"interleukin 12 receptor, beta 1 [Source:MGI Symbol;Acc:MGI:104579]",8,71261093,71274068
ENSMUSG00000000791,6.35478479206849,1.05770238343231,0.659891407790644,1.60284309046175,0.108969300684957,0.355880731038722,Il12rb1,16161,ENSMUSG00000000804,Usp32,protein_coding,ubiquitin specific peptidase 32 [Source:MGI Symbol;Acc:MGI:2144475],11,84875268,85030987
